iter	Passed	Remaining
0	29	14933
1	67	16843
2	99	16548
3	129	16043
4	158	15671
5	188	15497
6	220	15522
7	251	15492
8	281	15380
9	310	15229
10	342	15203
11	372	15128
12	403	15116
13	435	15135
14	467	15100
15	495	14985
16	525	14943
17	557	14915
18	592	14989
19	624	14989
20	655	14950
21	686	14921
22	715	14840
23	746	14803
24	774	14713
25	803	14646
26	838	14697
27	870	14668
28	902	14652
29	933	14630
30	965	14601
31	996	14577
32	1028	14558
33	1059	14517
34	1092	14517
35	1129	14559
36	1161	14534
37	1197	14558
38	1234	14596
39	1265	14550
40	1297	14522
41	1327	14475
42	1359	14449
43	1388	14384
44	1417	14329
45	1429	14103
46	1459	14071
47	1489	14027
48	1518	13974
49	1545	13912
50	1574	13863
51	1606	13839
52	1641	13848
53	1672	13809
54	1702	13771
55	1728	13706
56	1759	13673
57	1789	13637
58	1822	13622
59	1851	13580
60	1878	13516
61	1907	13474
62	1935	13428
63	1965	13390
64	1996	13361
65	2028	13341
66	2057	13294
67	2084	13244
68	2116	13219
69	2147	13194
70	2179	13168
71	2209	13136
72	2236	13084
73	2265	13044
74	2296	13011
75	2325	12975
76	2352	12921
77	2380	12878
78	2410	12846
79	2442	12820
80	2469	12772
81	2498	12736
82	2527	12699
83	2555	12657
84	2586	12627
85	2615	12589
86	2644	12551
87	2674	12520
88	2705	12495
89	2735	12461
90	2763	12419
91	2792	12383
92	2821	12349
93	2855	12331
94	2881	12285
95	2913	12261
96	2945	12235
97	2976	12208
98	3006	12175
99	3034	12137
100	3061	12095
101	3075	12001
102	3105	11970
103	3134	11936
104	3161	11891
105	3190	11857
106	3222	11837
107	3254	11812
108	3283	11779
109	3319	11769
110	3347	11732
111	3379	11706
112	3407	11668
113	3437	11640
114	3466	11606
115	3497	11578
116	3525	11540
117	3551	11498
118	3581	11467
119	3610	11433
120	3642	11408
121	3674	11384
122	3702	11348
123	3735	11325
124	3764	11294
125	3798	11275
126	3827	11240
127	3855	11205
128	3883	11170
129	3912	11135
130	3941	11102
131	3972	11075
132	3999	11035
133	4026	10998
134	4082	11038
135	4120	11028
136	4147	10990
137	4177	10959
138	4209	10931
139	4237	10895
140	4255	10834
141	4286	10807
142	4316	10774
143	4344	10740
144	4372	10705
145	4402	10673
146	4432	10642
147	4462	10612
148	4475	10543
149	4505	10513
150	4535	10482
151	4563	10446
152	4590	10410
153	4619	10378
154	4648	10347
155	4681	10322
156	4707	10283
157	4734	10249
158	4764	10218
159	4796	10192
160	4830	10171
161	4863	10146
162	4889	10109
163	4916	10072
164	4947	10045
165	4976	10012
166	5004	9979
167	5033	9947
168	5063	9917
169	5095	9891
170	5124	9858
171	5149	9820
172	5179	9789
173	5208	9758
174	5236	9724
175	5266	9695
176	5297	9667
177	5328	9639
178	5359	9611
179	5388	9579
180	5415	9543
181	5441	9507
182	5471	9477
183	5496	9438
184	5524	9405
185	5553	9375
186	5583	9345
187	5609	9309
188	5638	9278
189	5669	9250
190	5697	9217
191	5723	9181
192	5754	9153
193	5784	9124
194	5815	9095
195	5843	9064
196	5880	9044
197	5915	9022
198	5945	8993
199	5978	8967
200	6007	8936
201	6037	8906
202	6067	8877
203	6099	8850
204	6129	8820
205	6158	8789
206	6184	8753
207	6214	8724
208	6248	8699
209	6281	8673
210	6316	8651
211	6348	8624
212	6377	8592
213	6406	8562
214	6432	8526
215	6461	8495
216	6489	8462
217	6521	8436
218	6548	8401
219	6577	8371
220	6605	8339
221	6630	8303
222	6664	8277
223	6692	8246
224	6722	8216
225	6753	8188
226	6784	8159
227	6811	8126
228	6843	8098
229	6876	8072
230	6908	8044
231	6938	8015
232	6968	7985
233	6996	7953
234	7023	7919
235	7053	7890
236	7082	7859
237	7109	7826
238	7137	7794
239	7168	7765
240	7197	7735
241	7223	7701
242	7253	7671
243	7281	7639
244	7315	7614
245	7344	7583
246	7376	7555
247	7404	7524
248	7432	7492
249	7463	7463
250	7494	7435
251	7521	7402
252	7551	7371
253	7580	7341
254	7608	7310
255	7635	7277
256	7664	7247
257	7695	7218
258	7727	7190
259	7758	7161
260	7789	7132
261	7816	7100
262	7846	7071
263	7876	7041
264	7910	7015
265	7941	6986
266	7969	6954
267	7997	6923
268	8026	6892
269	8057	6863
270	8087	6834
271	8119	6805
272	8149	6776
273	8177	6744
274	8207	6714
275	8237	6685
276	8267	6656
277	8295	6624
278	8324	6593
279	8354	6564
280	8383	6533
281	8409	6500
282	8442	6473
283	8471	6443
284	8499	6411
285	8534	6385
286	8563	6355
287	8590	6323
288	8618	6292
289	8647	6261
290	8676	6231
291	8703	6199
292	8732	6169
293	8761	6138
294	8788	6107
295	8816	6076
296	8849	6048
297	8876	6017
298	8907	5988
299	8938	5958
300	8970	5930
301	8997	5899
302	9025	5868
303	9054	5838
304	9092	5813
305	9121	5782
306	9147	5750
307	9177	5721
308	9208	5691
309	9238	5662
310	9265	5630
311	9294	5600
312	9326	5572
313	9357	5542
314	9387	5513
315	9414	5481
316	9443	5451
317	9473	5421
318	9504	5392
319	9531	5361
320	9559	5330
321	9592	5302
322	9623	5273
323	9652	5243
324	9679	5211
325	9706	5180
326	9740	5153
327	9769	5123
328	9800	5093
329	9830	5064
330	9857	5032
331	9889	5004
332	9918	4973
333	9947	4944
334	9973	4912
335	10002	4882
336	10035	4853
337	10064	4823
338	10098	4795
339	10132	4768
340	10159	4737
341	10171	4698
342	10200	4669
343	10232	4640
344	10266	4612
345	10298	4583
346	10333	4556
347	10364	4527
348	10393	4497
349	10424	4467
350	10451	4436
351	10483	4407
352	10514	4378
353	10550	4351
354	10579	4321
355	10608	4290
356	10639	4261
357	10666	4231
358	10696	4201
359	10727	4171
360	10755	4141
361	10783	4110
362	10812	4080
363	10845	4052
364	10884	4025
365	10918	3997
366	10954	3969
367	10988	3941
368	11026	3914
369	11069	3889
370	11103	3860
371	11137	3832
372	11169	3802
373	11205	3775
374	11235	3745
375	11266	3715
376	11293	3684
377	11324	3655
378	11358	3626
379	11387	3596
380	11418	3566
381	11448	3536
382	11475	3505
383	11502	3474
384	11535	3445
385	11564	3415
386	11595	3385
387	11625	3355
388	11651	3324
389	11682	3294
390	11713	3265
391	11744	3235
392	11778	3206
393	11808	3176
394	11836	3146
395	11869	3117
396	11900	3087
397	11930	3057
398	11960	3027
399	11987	2996
400	12014	2966
401	12044	2936
402	12072	2905
403	12104	2876
404	12138	2847
405	12172	2818
406	12200	2787
407	12228	2757
408	12256	2727
409	12267	2692
410	12294	2662
411	12325	2632
412	12353	2602
413	12381	2572
414	12409	2541
415	12437	2511
416	12465	2481
417	12494	2451
418	12522	2420
419	12549	2390
420	12582	2361
421	12609	2330
422	12644	2301
423	12672	2271
424	12704	2241
425	12733	2211
426	12761	2181
427	12790	2151
428	12820	2121
429	12851	2092
430	12880	2062
431	12909	2032
432	12935	2001
433	12964	1971
434	12996	1942
435	13024	1911
436	13051	1881
437	13080	1851
438	13110	1821
439	13140	1791
440	13174	1762
441	13201	1732
442	13231	1702
443	13259	1672
444	13288	1642
445	13318	1612
446	13345	1582
447	13378	1552
448	13407	1522
449	13436	1492
450	13463	1462
451	13491	1432
452	13523	1403
453	13551	1373
454	13578	1342
455	13607	1313
456	13637	1283
457	13666	1253
458	13700	1223
459	13728	1193
460	13755	1163
461	13788	1134
462	13817	1104
463	13847	1074
464	13876	1044
465	13906	1014
466	13936	984
467	13963	954
468	13990	924
469	14018	894
470	14049	865
471	14078	835
472	14106	805
473	14133	775
474	14164	745
475	14197	715
476	14230	686
477	14257	656
478	14285	626
479	14316	596
480	14347	566
481	14376	536
482	14404	506
483	14433	477
484	14463	447
485	14492	417
486	14522	387
487	14549	357
488	14582	328
489	14612	298
490	14640	268
491	14668	238
492	14699	208
493	14729	178
494	14762	149
495	14792	119
496	14824	89
497	14853	59
498	14879	29
499	14909	0
